epoch,train_loss,val_loss,loss_flow,loss_lpips,loss_edge
1,0.0544,,0.0280,0.0629,0.0251
2,0.0500,,0.0527,0.1114,0.0349
3,0.0494,,0.0325,0.0660,0.0240
4,0.0495,,0.0294,0.0653,0.0275
5,0.0482,0.0612,0.0234,0.0494,0.0216
6,0.0481,,0.0281,0.0691,0.0272
7,0.0472,,0.0437,0.0906,0.0302
8,0.0467,,0.0383,0.0751,0.0292
9,0.0472,,0.0264,0.0510,0.0253
10,0.0463,0.0659,0.0226,0.0544,0.0286
11,0.0458,,0.0332,0.0411,0.0191
12,0.0442,,0.0356,0.0338,0.0258
13,0.0443,,0.0491,0.1113,0.0370
14,0.0438,,0.0457,0.0616,0.0282
15,0.0434,0.0694,0.0410,0.0507,0.0208
16,0.0428,,0.0542,0.0480,0.0250
17,0.0414,,0.0317,0.0415,0.0206
18,0.0409,,0.0215,0.0494,0.0257
19,0.0406,,0.0322,0.0756,0.0314
20,0.0408,0.0728,0.0315,0.0462,0.0257
21,0.0389,,0.0135,0.0400,0.0183
22,0.0384,,0.0281,0.0483,0.0216
23,0.0381,,0.0248,0.0546,0.0277
24,0.0384,,0.0349,0.0612,0.0310
25,0.0376,0.0778,0.0342,0.0804,0.0389
26,0.0367,,0.0294,0.0567,0.0339
27,0.0367,,0.0238,0.0470,0.0262
28,0.0367,,0.0270,0.0475,0.0337
29,0.0355,,0.0349,0.0632,0.0347
30,0.0356,0.0796,0.0265,0.0256,0.0222
31,0.0355,,0.0153,0.0271,0.0201
32,0.0345,,0.0142,0.0430,0.0237
33,0.0335,,0.0178,0.0361,0.0209
34,0.0339,,0.0142,0.0383,0.0211
35,0.0342,0.0814,0.0204,0.0396,0.0253
36,0.0341,,0.0254,0.0546,0.0317
37,0.0325,,0.0223,0.0456,0.0196
38,0.0327,,0.0342,0.0424,0.0326
39,0.0323,,0.0225,0.0569,0.0246
40,0.0324,0.0836,0.0184,0.0559,0.0353
41,0.0327,,0.0225,0.0484,0.0250
42,0.0315,,0.0212,0.0476,0.0277
43,0.0326,,0.0267,0.0494,0.0305
44,0.0319,,0.0339,0.0443,0.0313
45,0.0306,0.0847,0.0151,0.0460,0.0287
46,0.0325,,0.0630,0.0378,0.0259
47,0.0312,,0.0306,0.0593,0.0233
48,0.0321,,0.0283,0.0557,0.0313
49,0.0308,,0.0393,0.0909,0.0344
50,0.0325,0.0854,0.0181,0.0312,0.0194
